#,In which role are you responding to this survey?,Other,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,We manage an institutional Carpentries membership.,We coordinate a local Carpentries community.,"We are not involved yet, but would like to learn more.",We are not involved as a library but I am personally.,Other,Teaching and Learning,Collections management and acquisitions,"Scholarly communication, publishing services, open access",Digital library management,Information and data analytics,Research data management,"Research and development, digital projects","Metadata and data conversion, cataloging",Reference and user services,"Library IT, digital library services",Other,Library Carpentry,Data Carpentry,Software Carpentry,"No, but I plan to do so",No,Other,When did you last attend a Carpentries Workshop?,Git,Introduction to Data for Archivists,OpenRefine,Python,R,Regular Expressions,Spreadsheets/tidy data,SQL,Unix Shell,Web Scraping,I do not remember,Other,In a new work area or project,My own work area(s),I have suggested tools to others and explained how they work,Other,How often do you now apply the skills and techniques which you have gained?,"In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Reorganising and Cleaning Spreadsheets","In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Using Version Control","In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Transforming Workflows into Scripts","In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Scraping or Mining Web Content","In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Improving Data Management and Project Organisation","In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Using Programming Languages (R, Python)","In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Reusing code","In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Creating processable reports (e.g., R Markdown, Jupyter notebook)",What other behaviours/routines have you adopted as a result of completing a Carpentries workshop?,Stronger confidence in learning new technical skills,Encouraging skills development of staff,Decision-making on technical solutions in libraries,Recruitment of technical and/or analytical staff,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,Other,Used Carpentry self-guided material,Used non-Carpentry self-guided material,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),Participated in a semester-long course,Other,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,I have promoted membership to the head of my institution,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,Other,What other topics should the Library Carpentry curriculum include?,Do you have any other suggestions on how Library Carpentry could support you in your work?,We would like to quote you. Please share a short statement on how you personally benefitted from your workshop participation or further engagement with The Carpentries.,How would you classify your institution/organisation?,Other,What is the size of your overall institution in terms of staff (academic and administrative)?,Other,What is the size of your overall institution in terms of full-time equivalent (FTE) enrolled students?,What is the size of the library in terms of FTE staff?,Is there anything else you would like to share?,Start Date (UTC),Submit Date (UTC),Network ID
4ahcsdx0937nwugzd8cu4ahcsdeaq1o6,,,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,We manage an institutional Carpentries membership.,,,,,,,,,,Research data management,"Research and development, digital projects",,,,,Library Carpentry,Data Carpentry,Software Carpentry,,,,7-12 months ago,Git,,,,R,,,SQL,Unix Shell,,,,In a new work area or project,My own work area(s),I have suggested tools to others and explained how they work,,Monthly,3,5,3,3,0,3,3,2,this is difficult to answer because most skills I apply have been learned over time through many educational opportunities not solely carpentries. especially tech skills .,Stronger confidence in learning new technical skills,Encouraging skills development of staff,,,Improved relationships with academic or technical partners,,,Used Carpentry self-guided material,Used non-Carpentry self-guided material,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),Participated in a semester-long course,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,I have promoted membership to the head of my institution,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,,"expanded lessons on using github  pages, sparql, personal names normalization & authority sources avail via api",help us network with other instructors regionally,Pursuing Carpentries instructor certification has improved my teaching and made me a more conscientious instructor .,Private research organisation,,at least 5000 but fewer than 10000,,at least 10000 but fewer than 20000,at least 100 but fewer than 250,live coding and faded problems are two of my favorite aspects of carpentries,2021-06-16 03:20:56,2021-06-16 03:36:55,e3d75d434d
6m4aksuyr5t6r4zmm6m4aksu765t5fef,As a representative of a member institution,,,,,,,We are not involved as a library but I am personally.,,,,,Digital library management,,Research data management,,,Reference and user services,,,Library Carpentry,Data Carpentry,Software Carpentry,,,,0-6 months ago,Git,,,,,,,,,,,,,My own work area(s),I have suggested tools to others and explained how they work,,Weekly,0,6,0,3,4,5,5,4,"teaching code for text/data mining, being confident in offering my expertise",Stronger confidence in learning new technical skills,,,,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,Used non-Carpentry self-guided material,,Participated in a short course or workshop (up to 4 days),,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,,I have organised workshops or sessions,,,,,The Carpentries have inspired me to learn more about coding and have given me the confidence to share my knowledge.,University,,at least 500 but fewer than 2000,,at least 5000 but fewer than 10000,at least 50 but fewer than 100,Please offer more opportunities so that others can benefit!,2021-06-16 03:27:00,2021-06-16 03:35:04,b6750bce95
204dppq0zebjee7e204dpzeeytiiv66h,As an individual,,We organise and host Carpentries workshops.,,,,,,,,Collections management and acquisitions,"Scholarly communication, publishing services, open access",,,,,,,,,,Data Carpentry,,,,,More than 1 year ago,,,OpenRefine,,R,,,SQL,,,,,,My own work area(s),I have suggested tools to others and explained how they work,,Monthly,3,2,1,0,2,3,5,3,Basic understanding if SQL that helps with other reporting,,,,,,Rethinking current approaches for data processing and management in my unit/department,,,Used non-Carpentry self-guided material,,,,,,I recommended the workshops to other colleagues and friends,I have promoted membership to the head of my institution,,,,,,,University,,at least 10000,,at least 10000 but fewer than 20000,at least 50 but fewer than 100,,2021-06-16 03:17:22,2021-06-16 03:23:27,8e85e13973
29d9ur5bmu2hrx5a7t29d9u5hu599o92,As a representative of a member institution,,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,We manage an institutional Carpentries membership.,We coordinate a local Carpentries community.,,,,Teaching and Learning,,,,,Research data management,"Research and development, digital projects",,,,,Library Carpentry,Data Carpentry,Software Carpentry,,,,0-6 months ago,,,,,R,,,,,,,,,My own work area(s),I have suggested tools to others and explained how they work,,Monthly,4,5,3,2,6,4,3,5,"organization in spreadsheets, using the Bash more",Stronger confidence in learning new technical skills,Encouraging skills development of staff,,,Improved relationships with academic or technical partners,,,Used Carpentry self-guided material,Used non-Carpentry self-guided material,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,I have promoted membership to the head of my institution,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,,Intro to data management best practices,Teaching opportunities and collaborations,The Carpentries helped me become a better instructor.,University,,at least 10000,,at least 20000,at least 250 but fewer than 500,Keep up the good work and looking forward to new lesson topics,2021-06-14 21:55:21,2021-06-15 22:47:21,19a9f92794
73oxfvcjxcs86lgsa73oxgnubnacce6r,As an individual,,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,,,,,,,,"Scholarly communication, publishing services, open access",,,,,,,"Library IT, digital library services",,Library Carpentry,,Software Carpentry,,,,,,,,,,,Spreadsheets/tidy data,,,,,,,,,,Several times per year,1,0,0,0,1,3,6,1,Understanding how learning works,Stronger confidence in learning new technical skills,Encouraging skills development of staff,,,,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,,Contributed as an instructor/helper to a Carpentry workshop,,,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,,,,,,,,University,,at least 5000 but fewer than 10000,,at least 20000,at least 50 but fewer than 100,,2021-06-15 21:12:52,2021-06-15 21:19:20,3c34527448
r4btpd5h5iyhee6r4btpdzessq9v91oz,As an individual,,,,,,,We are not involved as a library but I am personally.,,Teaching and Learning,,,,,Research data management,,,Reference and user services,,,Library Carpentry,,Software Carpentry,,,,7-12 months ago,Git,,,Python,,,,,,,,,,My own work area(s),I have suggested tools to others and explained how they work,,Several times per year,5,3,0,3,6,1,1,0,,Stronger confidence in learning new technical skills,Encouraging skills development of staff,,,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,,Contributed as an instructor/helper to a Carpentry workshop,,,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,I have promoted membership to the head of my institution,,I contributed to Carpentries workshops as a helper,,,,,Public research organisation,,at least 5000 but fewer than 10000,,at least 20000,at least 100 but fewer than 250,,2021-06-15 17:41:55,2021-06-15 17:45:17,915c232703
pp4cb47dwfih41aq3pp4cecpnpcwwkai,As an individual,,We organise and host Carpentries workshops.,,We manage an institutional Carpentries membership.,,,,,Teaching and Learning,,"Scholarly communication, publishing services, open access",,,,"Research and development, digital projects",,,,,,Data Carpentry,,,,,More than 1 year ago,,,,,R,,,,,,,,,,I have suggested tools to others and explained how they work,,Several times per year,3,3,1,1,3,1,1,1,,,Encouraging skills development of staff,,,,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,Used non-Carpentry self-guided material,,,,,,I recommended the workshops to other colleagues and friends,,,I contributed to Carpentries workshops as a helper,,,,,University,,at least 10000,,at least 20000,at least 100 but fewer than 250,,2021-06-15 15:36:57,2021-06-15 15:40:33,bbf618b09e
t5mede9x82p9e8anlrt5meda7msixiqp,As an individual,,We organise and host Carpentries workshops.,,We manage an institutional Carpentries membership.,,,,,,,,Digital library management,,,,"Metadata and data conversion, cataloging",,"Library IT, digital library services",,Library Carpentry,Data Carpentry,,,,,More than 1 year ago,,,,Python,,,,,,,,,In a new work area or project,My own work area(s),,,Monthly,3,1,0,3,4,6,5,2,"The carpentries have definitely given me a knowledge of best practice for managing data. On a practical level it means being consistent with practice, and planning things in advanced. It's a slow, mundane process.",Stronger confidence in learning new technical skills,Encouraging skills development of staff,Decision-making on technical solutions in libraries,,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,Used non-Carpentry self-guided material,,,,,I have joined The Carpentries community as an instructor,,,,,,"A lot of the topics are very academic and specific, more mundane classes that people can incorporate into their everyday lives would be useful. There are people in academia who aren't academics, who nonetheless work with lots of data; skills and practices target at them might reach more people. 
More LIS topics would be helpful as well, especially from a technical services perspective. Record management/manipulation, normalization rules, working with metadata, etc. would be useful.","Making sure that there is a full and complete key, with annotations, for all of the carpentries. I worked through a few of the carpentries on my own at the prompting of a carpentries instructor; some of python was wrong to the point that my computer and data scientist colleagues couldn't figure it out. It's hard for students and the instructor if the directions don't match up with data, especially for the less experienced.","A colleague peer pressured me into attending a workshop just before the beginning of the pandemic; I just completed a graduate minor program in applied data science, and am considering new trajectories in the workplace and my career because of the experience.",University,,Fewer than 200,,at least 10000 but fewer than 20000,at least 50 but fewer than 100,"This is a really great program, with lots of possibilities. My colleagues' enthusiasm for the topic has expanded my skills and interests in the topic.",2021-06-15 14:21:26,2021-06-15 14:44:52,33470dc2f0
f6y63039cdgfbpgf6y6302io6uy2nnfg,As an individual,,We organise and host Carpentries workshops.,,,We coordinate a local Carpentries community.,,We are not involved as a library but I am personally.,,Teaching and Learning,Collections management and acquisitions,,,,,,,Reference and user services,,,,,,"No, but I plan to do so",,,Have not attended a Carpentries Workshop,Git,,OpenRefine,,,,,SQL,,,,,In a new work area or project,My own work area(s),I have suggested tools to others and explained how they work,,Monthly,3,1,0,0,0,0,1,0,,,Encouraging skills development of staff,,,,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,,,,,,,I recommended the workshops to other colleagues and friends,I have promoted membership to the head of my institution,I have organised workshops or sessions,,,,,,University,,at least 500 but fewer than 2000,,at least 20000,at least 50 but fewer than 100,,2021-06-15 14:31:41,2021-06-15 14:34:33,5ff4a2d61b
zbu3lkyhh7dfbs30kzbu312dufwqzcb2,As an individual,,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,,,,,,Teaching and Learning,,,,,,"Research and development, digital projects",,,,,Library Carpentry,Data Carpentry,Software Carpentry,,,,0-6 months ago,Git,,,Python,,,,,Unix Shell,,,,In a new work area or project,My own work area(s),I have suggested tools to others and explained how they work,,Daily,1,6,5,2,4,6,3,4,,Stronger confidence in learning new technical skills,Encouraging skills development of staff,,,,,,Used Carpentry self-guided material,,Contributed as an instructor/helper to a Carpentry workshop,,Participated in a semester-long course,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,,Machine learning,,,Special library,,at least 500 but fewer than 2000,,Not applicable,at least 500,,2021-06-15 12:58:45,2021-06-15 13:52:38,b340b09e9f
9vx00htmj7zz9c2ick9vx0fk9kp3gllh,As an individual,,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,We manage an institutional Carpentries membership.,We coordinate a local Carpentries community.,,,,Teaching and Learning,,"Scholarly communication, publishing services, open access",,,Research data management,,,,,,Library Carpentry,,,"No, but I plan to do so",,,7-12 months ago,,,,Python,,,,,,,,,,,I have suggested tools to others and explained how they work,,Less than once a year,,,,,,,,,,,,Decision-making on technical solutions in libraries,Recruitment of technical and/or analytical staff,Improved relationships with academic or technical partners,,,,,,,,,,I recommended the workshops to other colleagues and friends,I have promoted membership to the head of my institution,,I contributed to Carpentries workshops as a helper,,,,,University,,at least 5000 but fewer than 10000,,at least 20000,at least 100 but fewer than 250,,2021-06-15 11:10:43,2021-06-15 11:14:27,490b6c4846
n3kdzbpo3pfzv0iuy0n3kdzb9lha0fm1,As a representative of a member institution,,We organise and host Carpentries workshops.,,We manage an institutional Carpentries membership.,,,,,Teaching and Learning,,,,,Research data management,,,Reference and user services,,,Library Carpentry,,Software Carpentry,,,,Have not attended a Carpentries Workshop,,,,,,,,,,,,,,,,,Weekly,,,,,,,,,"I haven't  attended as a participant, but only as a helper and an instructor. Doing this, and studying Carpentries materials have improved my practices in many of the above aspects though.",,,,,,,,Used Carpentry self-guided material,Used non-Carpentry self-guided material,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,,"The basics of creating documents with LaTeX would be good for many teaching librarians who meet students from technical and engineering subjects. Focus on document creation and how reference management works in this setting. For me personally, more content on metadata and more specific FAIR data practices would also be useful.",,The Carpentries provides a great framework for providing tools and instruction in subjects not traditionally covered by libraries but highly relevant to modern data practices.,University,,at least 2000 but fewer than 5000,,at least 10000 but fewer than 20000,at least 10 but fewer than 50,,2021-06-15 08:03:03,2021-06-15 08:25:13,2137bb395e
o9jcpog38t6pa6aud9ko4hpo9jcponbw,As an individual,,We organise and host Carpentries workshops.,,,,,,,Teaching and Learning,,,,,,,,Reference and user services,,,Library Carpentry,Data Carpentry,Software Carpentry,,,,More than 1 year ago,Git,,OpenRefine,Python,R,,,,Unix Shell,,,,,,,,Less than once a year,5,3,0,0,5,0,0,0,,,,,,,Rethinking current approaches for data processing and management in my unit/department,,,,,,,,,,,,,,different IDEs and their benefits,,,University,,at least 5000 but fewer than 10000,,at least 10000 but fewer than 20000,at least 50 but fewer than 100,,2021-06-14 21:00:59,2021-06-14 21:07:48,9b882b331c
8dd4qjje0g523rsgn8dd4qesi68yuzp5,As an individual,,We organise and host Carpentries workshops.,,,,,,,,,"Scholarly communication, publishing services, open access",,,,,,Reference and user services,,,Library Carpentry,,Software Carpentry,,,,0-6 months ago,,,OpenRefine,,,,,,,,,,,,I have suggested tools to others and explained how they work,,Monthly,4,3,2,3,4,2,3,1,,Stronger confidence in learning new technical skills,,Decision-making on technical solutions in libraries,,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,,,,,Participated in a short course or workshop (up to 4 days),Participated in a semester-long course,,,I recommended the workshops to other colleagues and friends,,I have organised workshops or sessions,,,,,,University,,at least 2000 but fewer than 5000,,at least 20000,at least 50 but fewer than 100,,2021-06-14 19:57:30,2021-06-14 20:03:56,1f77448d6a
ifhdu92qff5lo9a11oifhdu9xzmcv2pn,As a representative of a member institution,,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,,,,,,Teaching and Learning,,,,,Research data management,,,,,,Library Carpentry,,Software Carpentry,,,,0-6 months ago,Git,,,,R,,,,,,,,,My own work area(s),I have suggested tools to others and explained how they work,,Weekly,5,4,1,0,5,2,2,1,,Stronger confidence in learning new technical skills,Encouraging skills development of staff,,,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,Used non-Carpentry self-guided material,Contributed as an instructor/helper to a Carpentry workshop,,,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,I have promoted membership to the head of my institution,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,,,,,University,,at least 2000 but fewer than 5000,,at least 5000 but fewer than 10000,at least 100 but fewer than 250,,2021-06-14 19:19:13,2021-06-14 19:24:47,b5553f0a00
8xf0kld6j7bf8xf0zxifo7qnmd971tak,As an individual,,,,,,"We are not involved yet, but would like to learn more.",,,,,,,,,,,,,,,,,,No,,Have not attended a Carpentries Workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I recommended the workshops to other colleagues and friends,I have promoted membership to the head of my institution,,,,,"Since I'm adjunct and only advise informally, it would be nice to have some ways to connect carpentry speakers and other trainings for technologies like UX and HPC with our librarians.",,University,,at least 10000,,at least 20000,,"I occasionally run into researchers and IT people from my university at Carpentry events and others like those at XSEDE, SGCI and OSCER. It's a nice network but kind of slapdash. Would love to introduce more formal networking.",2021-06-14 19:06:31,2021-06-14 19:12:37,e6cf687c8c
rd3ybbmos5bktqrd3yaap1aeas95zhrs,As an individual,,,,We manage an institutional Carpentries membership.,,,,,Teaching and Learning,,"Scholarly communication, publishing services, open access",,,,,,Reference and user services,,,Library Carpentry,,Software Carpentry,,,,More than 1 year ago,Git,,,,,Regular Expressions,Spreadsheets/tidy data,,,,I do not remember,,,,,,Several times per year,1,6,0,0,6,1,1,0,More command line but that's also because I use Linux on my personal computer now,Stronger confidence in learning new technical skills,Encouraging skills development of staff,,,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,,,,,,,,,,,I have organised workshops or sessions,,,Actual content relevant to library research and social science research in general instead of awkward ecology examples,,I do not feel I personally benefited. Also you spelled benefited wrong in the question.,University,,Fewer than 200,,less than 1000,less than 10,,2021-06-14 18:11:20,2021-06-14 18:18:17,e0566342b1
m9o3e25lqznjr4gm9o3iystm26bupnvi,As a representative of a member institution,,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,We manage an institutional Carpentries membership.,We coordinate a local Carpentries community.,,,,Teaching and Learning,,,,,Research data management,"Research and development, digital projects",,,,,,,Software Carpentry,,,,0-6 months ago,,,,Python,R,,,,,,,,In a new work area or project,,I have suggested tools to others and explained how they work,,Monthly,6,5,3,0,5,3,0,3,Wanting to continue to learn through the Carpentries,Stronger confidence in learning new technical skills,Encouraging skills development of staff,,Recruitment of technical and/or analytical staff,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,,,,,,,I recommended the workshops to other colleagues and friends,,I have organised workshops or sessions,,,Courses on visualization,,,University,,at least 200 but fewer than 500,,at least 20000,at least 250 but fewer than 500,It's great being part of the Carpentries community!,2021-06-14 17:24:07,2021-06-14 17:30:00,9d4600b6d5
6b2vaehljtibuifkobbw2c6b2va7stl1,As a representative of a member institution,,We organise and host Carpentries workshops.,,,,,,,Teaching and Learning,Collections management and acquisitions,,,,,,,Reference and user services,,,Library Carpentry,,,,,,More than 1 year ago,Git,,OpenRefine,,,,,,Unix Shell,,,,,My own work area(s),I have suggested tools to others and explained how they work,,Less than once a year,4,5,0,0,4,0,0,0,,Stronger confidence in learning new technical skills,,,,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,,,,,,,I recommended the workshops to other colleagues and friends,,,,,,,,University,,at least 2000 but fewer than 5000,,at least 10000 but fewer than 20000,at least 50 but fewer than 100,,2021-06-14 16:45:09,2021-06-14 16:48:55,57c90db4c0
t5tfj0g59uhdeet5thspg6a1t94a1lhn,As an individual,,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,We manage an institutional Carpentries membership.,,,,,,,,,,Research data management,,,,,,,Data Carpentry,Software Carpentry,,,,0-6 months ago,Git,,OpenRefine,,R,,Spreadsheets/tidy data,,,,,,,,I have suggested tools to others and explained how they work,,Monthly,6,6,0,3,6,5,2,0,,Stronger confidence in learning new technical skills,,Decision-making on technical solutions in libraries,,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,,,,,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,,,I contributed to Carpentries workshops as a helper,,,,,University,,at least 5000 but fewer than 10000,,at least 10000 but fewer than 20000,at least 10 but fewer than 50,,2021-06-14 16:29:01,2021-06-14 16:31:00,c9e517440f
npwttniysw1xx8pjtiytnpwtq2co4cfj,As an individual,,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,We manage an institutional Carpentries membership.,We coordinate a local Carpentries community.,,,,Teaching and Learning,Collections management and acquisitions,,,,,,,Reference and user services,,,Library Carpentry,Data Carpentry,Software Carpentry,,,,0-6 months ago,Git,,,Python,,,,,,,,,In a new work area or project,My own work area(s),I have suggested tools to others and explained how they work,,Weekly,3,2,4,1,2,5,5,2,,Stronger confidence in learning new technical skills,,,,Improved relationships with academic or technical partners,,,Used Carpentry self-guided material,Used non-Carpentry self-guided material,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,,I helped develop a new lesson using litsearchr to teach R in an evidence synthesis context (currently in pre-alpha stage). I'd be very interested in working with others to develop more Library Carpentries content related to the automation of systematic review tasks.,,"As a librarian at a member institution, I have had the opportunity to attend many Carpentries trainings as a student, helper and organizer. Through Carpentries I  gained confidence to take on research projects requiring coding, which has allowed me to vastly improve my skills in R and better support and communicate with faculty and students on our campus.",University,,at least 500 but fewer than 2000,,at least 10000 but fewer than 20000,at least 50 but fewer than 100,,2021-06-14 16:13:13,2021-06-14 16:22:46,28998972f7
kf1abx875zqe6r1qzhkf1abx4p5rs36d,As an individual,,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,,We coordinate a local Carpentries community.,,,,Teaching and Learning,,"Scholarly communication, publishing services, open access",,,,,,Reference and user services,,,Library Carpentry,Data Carpentry,Software Carpentry,,,,0-6 months ago,,,,,,,,,,,I do not remember,,In a new work area or project,My own work area(s),I have suggested tools to others and explained how they work,,Monthly,6,6,1,0,6,3,3,3,,Stronger confidence in learning new technical skills,Encouraging skills development of staff,Decision-making on technical solutions in libraries,Recruitment of technical and/or analytical staff,Improved relationships with academic or technical partners,,,Used Carpentry self-guided material,Used non-Carpentry self-guided material,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,I have promoted membership to the head of my institution,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,,"The first lesson, the data management one, could probably use a lot of work. RegEx is a huge waste in my opinion. I personally think OpenRefine is hit and miss, but librarians love it so I guess keep it.",,,University,,at least 10000,,at least 10000 but fewer than 20000,at least 250 but fewer than 500,,2021-06-14 15:38:59,2021-06-14 15:44:56,8687718884
o5o0v9brpbdjw9491pblbo5o0v9oo4uq,As an individual,,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,,,,,,,Collections management and acquisitions,,,,,,"Metadata and data conversion, cataloging",,"Library IT, digital library services",,Library Carpentry,Data Carpentry,Software Carpentry,,,,0-6 months ago,,,,,,Regular Expressions,,,,,,,,My own work area(s),I have suggested tools to others and explained how they work,,Weekly,6,1,0,3,4,4,3,1,,,Encouraging skills development of staff,,,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,Used non-Carpentry self-guided material,Contributed as an instructor/helper to a Carpentry workshop,,,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,,"Something to overcome fear of coding in librarians who have never done it, or have failed at it before.",,,University,,at least 200 but fewer than 500,,at least 1000 but fewer than 5000,at least 10 but fewer than 50,,2021-06-14 15:23:20,2021-06-14 15:32:45,23f489f6d9
jb7jufxvr5fm77jb7j5fc936dup76blm,As an individual,,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,We manage an institutional Carpentries membership.,We coordinate a local Carpentries community.,,,,,,,,,Research data management,,,,,,Library Carpentry,Data Carpentry,Software Carpentry,,,,7-12 months ago,,,,Python,,Regular Expressions,Spreadsheets/tidy data,,Unix Shell,Web Scraping,,,In a new work area or project,My own work area(s),I have suggested tools to others and explained how they work,,Weekly,6,3,6,3,6,6,6,6,,,Encouraging skills development of staff,,Recruitment of technical and/or analytical staff,,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,Used non-Carpentry self-guided material,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,I have promoted membership to the head of my institution,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,,Data curation and data sharing,,,University,,at least 10000,,at least 20000,at least 500,,2021-06-14 13:59:48,2021-06-14 14:11:07,e6dab9b24d
tqj44oblocxl9h5umn1tqj4tn8umbov3,As an individual,,,We contribute as instructors/helpers to workshops.,,,,,,Teaching and Learning,,,,,Research data management,,,Reference and user services,,,Library Carpentry,Data Carpentry,Software Carpentry,,,,0-6 months ago,Git,,OpenRefine,Python,R,Regular Expressions,Spreadsheets/tidy data,,Unix Shell,,,,,My own work area(s),I have suggested tools to others and explained how they work,,Several times per year,3,4,0,2,6,3,4,3,"Mostly for training others, not using in my own work.",Stronger confidence in learning new technical skills,,Decision-making on technical solutions in libraries,,,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,Used non-Carpentry self-guided material,Contributed as an instructor/helper to a Carpentry workshop,,,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,I have promoted membership to the head of my institution,,I contributed to Carpentries workshops as a helper,,,,,University,,at least 10000,,at least 10000 but fewer than 20000,at least 10 but fewer than 50,,2021-06-14 13:53:00,2021-06-14 14:01:19,417a373b4b
6pwatrgfjutgoqj9gcl6pwatrgwao3rh,As an individual,,,,,We coordinate a local Carpentries community.,,,,,Collections management and acquisitions,"Scholarly communication, publishing services, open access",,,Research data management,,,,,,Library Carpentry,,,,,,More than 1 year ago,,,,,,,,,,,I do not remember,,,,I have suggested tools to others and explained how they work,,Less than once a year,3,0,0,4,6,1,3,0,,,,,,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,,,,,,,I recommended the workshops to other colleagues and friends,I have promoted membership to the head of my institution,,,,"Data curation, digital preservation,  metadata standards",,,University,,at least 10000,,at least 20000,at least 100 but fewer than 250,,2021-05-17 19:14:49,2021-05-17 19:21:07,aa2a505dbc
